"","curv_meth","vcmax","jmax","tpu","leaf_id","treeid","leaf_unique","V_cmax_se","J_se","V_TPU_se","fit_type"
"2","DAT",21.8103222569684,48.8281551067154,4.72988428737957,"K6704L1","K6704","K6704L1",0.276818013922102,0.0345678883602051,"0.0113070131020347","no_tpu"
"3","DAT",17.9826864204531,47.7909426331716,4.57662193194756,"K6704L2","K6704","K6704L2",0.196719310508659,0.0523876760830075,"0.0105535636108613","no_tpu"
"4","DAT",19.9694799846868,39.835308650493,NA,"K6705L1","K6705","K6705L1",0.1945400828436,0.0218048522839652,"NA","no_tpu"
"5","DAT",20.1521335279713,38.6082910696462,NA,"K6705L1-1","K6705","K6705L1",0.215940860204727,0.020869456753518,"NA","no_tpu"
"6","DAT",24.5944020324992,44.7139693813542,3.56962919001199,"K6705L2","K6705","K6705L2",0.304951903232841,0.0486957109552318,"0.0070309264634975","no_tpu"
"13","DAT",28.453732046112,46.8714935715359,NA,"K6708L1","K6708","K6708L1",0.277111831183217,0.042009627592919,"NA","no_tpu"
"14","DAT",24.2797110809525,42.1923071395358,NA,"K6708L2","K6708","K6708L2",0.261377927779304,0.0239008157129349,"NA","no_tpu"
"16","DAT",56.2500633279463,90.964845977723,6.80877152793294,"K6709L2-2","K6709","K6709L2",1.60189284378877,0.158727609434267,"0.0124906290687329","no_tpu"
"19","DAT",67.6327173414248,100.547596077738,8.36318813979826,"K6709L8","K6709","K6709L8",0.500316799425362,0.0458586475324213,"0.0240301007483389","no_tpu"
"20","DAT",24.7465720053319,35.9814421670951,3.43605602339263,"K6713L1","K6713","K6713L1",0.497383322731076,0.0274777419243857,"0.0155787989461619","no_tpu"
"21","DAT",20.4203876928336,36.9942418321941,NA,"K6713L2","K6713","K6713L2",0.240616414506677,0.0175951722674332,"NA","no_tpu"
"22","DAT",32.3355745742297,49.9302769488151,4.28440470873387,"K6713L3","K6713","K6713L3",0.353394273052624,0.0385716366828501,"0.00787539923213734","no_tpu"
"25","DAT",21.873215904353,40.8135510722638,3.9528412244111,"K6715L1","K6715","K6715L1",0.213273759930378,0.0290336585852711,"0.0117714775324755","no_tpu"
"26","DAT",21.0762285558965,35.8780875432773,3.48497640220626,"K6715L1-1","K6715","K6715L1",0.203964604206385,0.0297018950215509,"0.0123199742235202","no_tpu"
"27","DAT",28.9085890852689,48.5082648723963,NA,"K6715L2","K6715","K6715L2",0.335477043005393,0.0249066516881023,"NA","no_tpu"
"28","DAT",34.953904964134,53.0223094306979,NA,"K6716L1","K6716","K6716L1",0.586150107258752,0.0477266407706243,"NA","no_tpu"
"29","DAT",33.2001972920477,55.4474357715096,4.24506229515506,"K6716L2","K6716","K6716L2",0.325322883292822,0.0848387654376829,"0.00614216908824102","no_tpu"
"30","DAT",39.691848414264,66.2327632525711,NA,"K6717L1","K6717","K6717L1",0.452862201863798,0.0329877987828296,"NA","no_tpu"
"31","DAT",41.4364510995175,70.9515945309389,NA,"K6717L2","K6717","K6717L2",0.503598573323397,0.0418236954616537,"NA","no_tpu"
"32","DAT",15.9072784804641,36.3299929058312,3.6233057619776,"K6718L1","K6718","K6718L1",0.264161428955496,0.0337987494190749,"0.0112550038519973","no_tpu"
"33","DAT",10.0682256962695,22.7477136934297,2.25434412806979,"K6718L2","K6718","K6718L2",0.150963424960237,0.0185646845444514,"0.00818254993952407","no_tpu"
"1","SS",15.7223884365012,31.4973246908629,NA,"K6702L1","K6702","K6702L1",0.547750078993131,0.112407534884126,"NA","no_tpu"
"210","SS",24.4803926555908,58.3880951288816,NA,"K6704L1","K6704","K6704L1",1.24491056292748,0.266370549437628,"NA","no_tpu"
"34","SS",20.1850378784446,51.6187552510138,NA,"K6704L2","K6704","K6704L2",1.18775117284333,0.263060111831714,"NA","no_tpu"
"41","SS",19.7794962782652,36.5961509135292,NA,"K6705L1","K6705","K6705L1",0.518672269660285,0.151184579293191,"NA","no_tpu"
"51","SS",23.8766834288716,43.189880886,NA,"K6705L2","K6705","K6705L2",0.765845662743725,0.131569333152491,"NA","no_tpu"
"61","SS",32.7284411473156,55.4266382852898,4.34223912370956,"K6706L1","K6706","K6706L1",0.777835009136972,0.229824862139991,"0.0561697194136871","no_tpu"
"7","SS",34.3921159858005,68.0705279592811,NA,"K6706L2","K6706","K6706L2",0.505307115864926,0.163952897355205,"NA","no_tpu"
"8","SS",64.2091260768729,102.756705932331,8.04626478330976,"K6707L1","K6707","K6707L1",2.05010543731261,0.309799219864613,"0.0193289981090904","no_tpu"
"9","SS",83.1848039035558,120.503226013395,9.35539446292539,"K6707L2","K6707","K6707L2",1.28059194262363,0.503392284692429,"0.0765257698627493","no_tpu"
"10","SS",26.7403772016636,49.8467252331649,NA,"K6708L1","K6708","K6708L1",0.674053165573322,0.256839690012151,"NA","no_tpu"
"11","SS",24.7520492452971,48.0803797832776,NA,"K6708L2","K6708","K6708L2",1.12564010901224,0.195522659955658,"NA","no_tpu"
"12","SS",61.8151266158906,97.1939705571186,NA,"K6709L2-2","K6709","K6709L2",3.26789503898502,1.32952014704974,"NA","no_tpu"
"141","SS",64.1307599131195,109.400168006773,7.97056721592577,"K6709L6","K6709","K6709L6",2.05005011273057,0.327020727047089,"0.157028363700111","no_tpu"
"15","SS",63.9907048708024,105.934715873284,NA,"K6709L8","K6709","K6709L8",3.50577452612926,1.5773889554627,"NA","no_tpu"
"161","SS",25.868280224573,44.2928150860518,NA,"K6713L1","K6713","K6713L1",0.427917925496403,0.123106072585095,"NA","no_tpu"
"17","SS",18.9133593639251,38.423226025503,NA,"K6713L2","K6713","K6713L2",1.08539758867756,0.115488139975888,"NA","no_tpu"
"18","SS",33.9742666832721,52.4084540689175,NA,"K6713L3","K6713","K6713L3",0.576192936453859,0.195635499771312,"NA","no_tpu"
"191","SS",21.954821715549,29.0604805724519,2.45133034198034,"K6714L1","K6714","K6714L1",0.0632285667095383,0.239218252220364,"0.0343135793727551","no_tpu"
"201","SS",23.6747505602201,35.476721860046,2.71643712734897,"K6714L2","K6714","K6714L2",0.728644646144683,0.402465860806059,"0.0451856106863187","no_tpu"
"211","SS",22.0753110254231,45.9968152162558,NA,"K6715L1","K6715","K6715L1",0.452136813887309,0.157767967918057,"NA","no_tpu"
"221","SS",28.547321190725,54.9771682074288,NA,"K6715L2","K6715","K6715L2",0.525425987424912,0.143423485481895,"NA","no_tpu"
"23","SS",36.9666800180096,62.09438847834,NA,"K6716L1","K6716","K6716L1",0.598410008825397,0.143162823384647,"NA","no_tpu"
"24","SS",34.3777378622275,60.797376697413,NA,"K6716L2","K6716","K6716L2",1.11080868539665,0.27544115749904,"NA","no_tpu"
"251","SS",43.2766999579409,69.4989289698232,NA,"K6717L1","K6717","K6717L1",0.360727379072037,0.34544770533905,"NA","no_tpu"
"261","SS",43.6113766332229,71.9036092609541,NA,"K6717L2","K6717","K6717L2",1.86895423473683,0.228912178952476,"NA","no_tpu"
"271","SS",17.8310184793411,40.7319708560837,NA,"K6718L1","K6718","K6718L1",0.974544513954356,0.186413590727963,"NA","no_tpu"
"281","SS",11.0430369755388,24.0306217508533,NA,"K6718L2","K6718","K6718L2",0.288631702429888,0.144140988826469,"NA","no_tpu"
