"","curv_meth","vcmax","jmax","tpu","leaf_id","treeid","leaf_unique","V_cmax_se","J_se","V_TPU_se","fit_type"
"1","DAT",15.6180110043827,19.2543444370173,NA,"K6702L1","K6702","K6702L1",0.405453303396921,0.0354000427966701,"NA","no_tpu"
"2","DAT",20.9723303782942,50.5058055093773,NA,"K6704L1","K6704","K6704L1",0.283370959954593,0.043077914352708,"NA","no_tpu"
"3","DAT",17.1010409802947,48.9217743496131,NA,"K6704L2","K6704","K6704L2",0.213214840158235,0.0334308471234661,"NA","no_tpu"
"4","DAT",19.9694799846868,39.835308650493,NA,"K6705L1","K6705","K6705L1",0.1945400828436,0.0218048522839652,"NA","no_tpu"
"5","DAT",20.1521335279713,38.6082910696463,NA,"K6705L1-1","K6705","K6705L1",0.215940860204727,0.0208694567535181,"NA","no_tpu"
"6","DAT",23.0971339211824,40.3782363725938,NA,"K6705L2","K6705","K6705L2",0.389152741923268,0.0414566265541582,"NA","no_tpu"
"7","DAT",28.7144498138449,29.5791252099867,NA,"K6706L1","K6706","K6706L1",0.737979643313314,0.0626777882624837,"NA","no_tpu"
"8","DAT",32.5066954433798,56.370037454682,NA,"K6706L2","K6706","K6706L2",0.493598440920244,0.0664618710577773,"NA","no_tpu"
"9","DAT",54.6548308824416,66.1845716336819,NA,"K6707L1","K6707","K6707L1",1.70010357459159,0.0861915345477126,"NA","no_tpu"
"10","DAT",54.2204257357487,65.66411999396,NA,"K6707L1-1","K6707","K6707L1",1.6304799838045,0.0816317130079709,"NA","no_tpu"
"11","DAT",70.6366574251911,71.6720012912048,NA,"K6707L2","K6707","K6707L2",2.39113436334518,0.168536568575067,"NA","no_tpu"
"12","DAT",69.0743011798449,71.0427019849137,NA,"K6707L2-2","K6707","K6707L2",2.37883883394677,0.143376424348389,"NA","no_tpu"
"13","DAT",28.453732046112,46.8714935715359,NA,"K6708L1","K6708","K6708L1",0.277111831183218,0.042009627592919,"NA","no_tpu"
"14","DAT",24.2797110809525,42.1923071395358,NA,"K6708L2","K6708","K6708L2",0.261377927779304,0.0239008157129349,"NA","no_tpu"
"15","DAT",62.3423936230392,78.1267747067953,NA,"K6709L2","K6709","K6709L2",1.24334423344999,0.0905152430480764,"NA","no_tpu"
"16","DAT",49.4700988643349,75.6707122270598,NA,"K6709L2-2","K6709","K6709L2",1.81296652090359,0.0761368864123342,"NA","no_tpu"
"18","DAT",53.0595098627546,60.671476281034,NA,"K6709L6","K6709","K6709L6",0.970873109557291,0.197601536803026,"NA","no_tpu"
"19","DAT",67.3897406880492,100.383025632924,NA,"K6709L8","K6709","K6709L8",0.507276684177601,0.0467871158220038,"NA","no_tpu"
"20","DAT",24.7465720053319,36.0356453519676,NA,"K6713L1","K6713","K6713L1",0.497383322731075,0.0274561890965053,"NA","no_tpu"
"21","DAT",20.4203876928336,36.9942418321941,NA,"K6713L2","K6713","K6713L2",0.240616414506677,0.0175951722674332,"NA","no_tpu"
"22","DAT",32.3355745742297,49.4337859056381,NA,"K6713L3","K6713","K6713L3",0.353394273052624,0.0371451462257256,"NA","no_tpu"
