"model","rowname","Estimate","Std. Error","df","t value","Pr(>|t|)","conf.2.5 %","conf.97.5 %","icc..","icc.ICC_adjusted","stdranef.grp","stdranef.Ranef.Var","stdranef.Ranef.StdDev"
"mod_tpu_v","(Intercept)", 1.0,0.7,26.0,1.49,0.15,-0.45, 2.49,NA,NA,treeid, 0.0,0.0
"mod_tpu_j","(Intercept)", 7.9,2.5,15.2,3.22,0.01, 2.77,12.51,NA,0.12,treeid,16.8,4.1
"tpu_only_mod","(Intercept)", 1.9,0.3, 3.3,6.47,0.01, 1.34, 2.51,NA,0.42,treeid, 0.2,0.4
"mod_notpu_v","(Intercept)", 2.1,0.9,11.6,2.26,0.04, 0.28, 3.84,NA,0.38,treeid, 6.1,2.5
"mod_notpu_j","(Intercept)",10.9,3.0,12.2,3.68,0.00, 4.51,16.72,NA,0.62,treeid,87.1,9.3
"mod_nd_tpu_v","(Intercept)", 1.0,0.5,18.0,2.00,0.06,-0.08, 1.91,NA,NA,treeid, 0.0,0.0
"mod_nd_tpu_j","(Intercept)", 4.4,1.0, 7.7,4.27,0.00, 2.36, 6.47,NA,0.41,treeid, 5.8,2.4
"mod_nd_notpu_v","(Intercept)", 1.8,0.8,18.0,2.34,0.03, 0.35, 3.37,NA,NA,treeid, 0.0,0.0
"mod_nd_notpu_j","(Intercept)", 5.6,1.6, 7.4,3.55,0.01, 2.50, 8.59,NA,0.21,treeid, 8.0,2.8
"mod_tpu_nol6_v","(Intercept)", 0.5,0.4,25.0,1.10,0.28,-0.35, 1.28,NA,NA,treeid, 0.0,0.0
"mod_tpu_nol6_j","(Intercept)", 6.1,1.2,11.6,5.16,0.00, 3.83, 8.61,NA,0.15,treeid, 4.5,2.1
"mod_notpu_nol6_v","(Intercept)", 1.9,0.9,12.0,2.04,0.06, 0.33, 3.64,NA,0.46,treeid, 6.9,2.6
"mod_notpu_nol6_j","(Intercept)",10.2,2.8,12.1,3.66,0.00, 4.94,15.66,NA,0.76,treeid,86.6,9.3
"tpu_only_mod","(Intercept)", 1.9,0.3, 3.3,6.47,0.01, 1.32, 2.54,NA,0.42,treeid, 0.2,0.4
