unique_id,Vcmax,Jmax,Rd,Vcmax_SE,Jmax_SE,Rd_SE,curv_meth
K6702L1,14.94380491,20.86094514,-1.045537973,0.218393621,NA,0.021399854,DAT
K6704L1,17.61380066,50.43111845,-0.566460108,0.285704942,NA,0.057027852,DAT
K6704L2,14.36904239,48.90529597,-1.115441455,0.207179344,NA,0.057324765,DAT
K6705L1,16.699987,40.10276819,-0.858118756,0.249068074,NA,0.038079977,DAT
K6705L1-1,17.13511245,39.07790486,-0.403939337,0.273516952,NA,0.038494245,DAT
K6705L2,20.13473782,42.15906356,0.874342547,0.408873296,NA,0.048489197,DAT
K6706L1,75.35028128,31.5010483,-2.315403512,NA,NA,NA,DAT
K6706L2,29.08054985,60.13020557,0.816561512,0.392417047,NA,0.040666916,DAT
K6707L1,153.4117925,73.13546778,-1.58166865,NA,NA,NA,DAT
K6707L1-1,409.1383668,58.67930408,-4.765783116,513.9670913,NA,3.040903669,DAT
K6707L2,254.4951905,79.06977137,-4.069962753,105.6894821,NA,0.664697435,DAT
K6707L2-2,423.7613429,70.61428243,-5.641157194,NA,NA,NA,DAT
K6708L1,23.3078454,46.89151483,-0.624332627,0.285376816,NA,0.031621899,DAT
K6708L2,19.4348637,42.16075647,-1.57377441,0.268624871,NA,0.031412324,DAT
K6709L2,118.7983812,80.46692875,-2.382384458,40.58825337,NA,0.287828479,DAT
K6709L2-2,38.19699714,73.22562306,-4.013420415,1.897394605,NA,0.319871343,DAT
K6709L3,61.25322525,101.8443726,-2.276063362,0.626550852,NA,0.043620344,DAT
K6709L6,51.61474676,60.70813945,-11.0074565,1.351389097,NA,0.048211483,DAT
K6709L8,55.40440198,100.3118589,-2.40353282,0.520566334,NA,0.046488255,DAT
K6713L1,20.01738185,36.01761923,-4.269811881,0.502920067,NA,0.036300964,DAT
K6713L2,16.88102031,37.03663521,-0.8481076,0.228835707,NA,0.028187302,DAT
K6713L3,26.21888724,49.3010478,-3.275906129,0.377114148,NA,0.036762895,DAT
K6714L2,0.092835723,5.86902301,-3.495110168,0.516889908,NA,0.2010952,DAT
K6715L1,17.71388397,42.63606858,-0.505947155,0.195303846,NA,0.027788201,DAT
K6715L1-1,17.14040463,37.45275914,-2.270667373,0.20513994,NA,0.023445996,DAT
K6715L2,23.87848516,48.46967927,-0.403288811,0.332347866,NA,0.036316313,DAT
K6716L1,31.90456498,55.87098052,-0.772233539,0.329033094,NA,0.034554612,DAT
K6716L2,28.2312062,50.87690625,-2.068834302,0.28629879,NA,0.032604629,DAT
K6717L1,34.65981249,67.22492149,-0.458765144,0.410738444,NA,0.047109969,DAT
K6717L2,36.98193811,73.16461844,-0.597879771,0.433751843,NA,0.053914935,DAT
K6718L1,11.80134824,37.66690823,0.171169621,0.252861591,NA,0.060587982,DAT
K6718L2,8.13083122,23.64032355,0.215077416,0.131523444,NA,0.027802783,DAT
K6714L1,20.8393492,13.52857844,0.16584385,0.47818072,NA,0.02406953,DAT
K6702L1,13.320817,31.35014,0.146621945,1.6087805,NA,0.21494672,SS
K6704L1,20.308541,58.29052,0.569853871,1.0823138,NA,0.2018863,SS
K6704L2,16.797857,51.71388,0.488811369,1.002208,NA,0.21262583,SS
K6705L1,16.326341,36.64358,0.212967638,0.4484748,NA,0.0620079,SS
K6705L2,20.066482,43.22596,0.281651005,0.7954324,NA,0.087052,SS
K6706L1,26.469964,51.64815,0.158529409,0.5641547,NA,0.05801802,SS
K6706L2,28.352677,67.96839,0.118484005,0.7716667,NA,0.10896455,SS
K6707L1,53.077209,97.64505,0.416096863,2.7791592,NA,0.28005712,SS
K6707L2,74.443479,116.16605,0.326505413,NaN,NA,NaN,SS
K6708L1,22.317485,49.76946,0.39740412,2.2287748,NA,0.23439286,SS
K6708L2,19.69501,48.18878,0.698104888,1.1782034,NA,0.15585567,SS
K6709L2-2,47.77459,103.9558,0.242232239,11.1066159,NA,1.11978873,SS
K6709L3,45.417166,100.66058,1.83546631,6.7809631,NA,0.65030777,SS
K6709L6,52.061025,101.76876,0.290024139,1.7139285,NA,0.15915746,SS
K6709L8,55.115791,119.08816,0.262299634,3.2796233,NA,0.32604073,SS
K6713L1,20.988742,44.22398,0.259456429,0.5737383,NA,0.06488304,SS
K6713L2,15.591068,38.2714,0.021909776,1.2775287,NA,0.21893824,SS
K6713L3,27.358652,52.39231,0.150001481,0.9915353,NA,0.09851457,SS
K6714L1,18.05318,28.45859,0.359072301,NaN,NA,NaN,SS
K6714L2,21.982047,32.7543,0.367987608,NaN,NA,NaN,SS
K6715L1,18.02225,45.99022,0.06244957,0.4577612,NA,0.07022948,SS
K6715L2,23.677129,54.96114,0.086358425,0.9966497,NA,0.13352483,SS
K6716L1,30.903405,62.33538,-0.004461401,1.8262334,NA,0.18012068,SS
K6716L2,28.303479,60.80366,-0.046598696,1.1173833,NA,0.13299139,SS
K6717L1,36.121735,69.88962,0.192557454,0.2061764,NA,0.02297499,SS
K6717L2,38.081819,72.89713,0.280628293,3.7623449,NA,0.42471176,SS
K6718L1,14.392892,40.84433,0.552336735,0.9823868,NA,0.17684348,SS
K6718L2,9.225872,24.1747,0.546207721,0.2498175,NA,0.03986324,SS
