"","curv_meth","vcmax","jmax","tpu","leaf_id","treeid","leaf_unique","V_cmax_se","J_se","V_TPU_se","fit_type"
"2","DAT",20.9723303782942,50.5058055093773,NA,"K6704L1","K6704","K6704L1",0.283370959954593,0.043077914352708,"NA","no_tpu"
"3","DAT",17.1010409802947,48.9217743496131,NA,"K6704L2","K6704","K6704L2",0.213214840158235,0.0334308471234661,"NA","no_tpu"
"4","DAT",19.9694799846868,39.835308650493,NA,"K6705L1","K6705","K6705L1",0.1945400828436,0.0218048522839652,"NA","no_tpu"
"5","DAT",20.1521335279713,38.6082910696463,NA,"K6705L1-1","K6705","K6705L1",0.215940860204727,0.0208694567535181,"NA","no_tpu"
"6","DAT",23.0971339211824,40.3782363725938,NA,"K6705L2","K6705","K6705L2",0.389152741923268,0.0414566265541582,"NA","no_tpu"
"13","DAT",28.453732046112,46.8714935715359,NA,"K6708L1","K6708","K6708L1",0.277111831183218,0.042009627592919,"NA","no_tpu"
"14","DAT",24.2797110809525,42.1923071395358,NA,"K6708L2","K6708","K6708L2",0.261377927779304,0.0239008157129349,"NA","no_tpu"
"16","DAT",49.4700988643349,75.6707122270598,NA,"K6709L2-2","K6709","K6709L2",1.81296652090359,0.0761368864123342,"NA","no_tpu"
"19","DAT",67.3897406880492,100.383025632924,NA,"K6709L8","K6709","K6709L8",0.507276684177601,0.0467871158220038,"NA","no_tpu"
"20","DAT",24.7465720053319,36.0356453519676,NA,"K6713L1","K6713","K6713L1",0.497383322731075,0.0274561890965053,"NA","no_tpu"
"21","DAT",20.4203876928336,36.9942418321941,NA,"K6713L2","K6713","K6713L2",0.240616414506677,0.0175951722674332,"NA","no_tpu"
"22","DAT",32.3355745742297,49.4337859056381,NA,"K6713L3","K6713","K6713L3",0.353394273052624,0.0371451462257256,"NA","no_tpu"
"25","DAT",21.6353351662765,42.6138218428697,NA,"K6715L1","K6715","K6715L1",0.197857343936059,0.0445735152148612,"NA","no_tpu"
"26","DAT",20.7904160801381,37.4255048069088,NA,"K6715L1-1","K6715","K6715L1",0.206611695750277,0.0408107355690867,"NA","no_tpu"
"27","DAT",28.9085890852688,48.5082648723962,NA,"K6715L2","K6715","K6715L2",0.335477043005393,0.0249066516881023,"NA","no_tpu"
"28","DAT",34.953904964134,53.022309430698,NA,"K6716L1","K6716","K6716L1",0.586150107258752,0.0477266407706244,"NA","no_tpu"
"29","DAT",29.4241932947218,47.4460314008283,NA,"K6716L2","K6716","K6716L2",0.599939956811577,0.0529799216087753,"NA","no_tpu"
"30","DAT",39.691848414264,66.2327632525711,NA,"K6717L1","K6717","K6717L1",0.452862201863799,0.0329877987828297,"NA","no_tpu"
"31","DAT",41.4364510995175,70.951594530939,NA,"K6717L2","K6717","K6717L2",0.503598573323397,0.0418236954616542,"NA","no_tpu"
"32","DAT",14.5532211567,37.6393798356844,NA,"K6718L1","K6718","K6718L1",0.257647150702523,0.0425777991659929,"NA","no_tpu"
"33","DAT",9.9166805150425,23.5891294208106,NA,"K6718L2","K6718","K6718L2",0.138171276475672,0.0249141209717969,"NA","no_tpu"
"1","SS",15.7223868774886,31.4973220244293,NA,"K6702L1","K6702","K6702L1",0.547751134547044,0.112407581301064,"NA","no_tpu"
"210","SS",24.4803926555908,58.3880951288816,NA,"K6704L1","K6704","K6704L1",1.24491056292748,0.266370549437625,"NA","no_tpu"
"34","SS",20.1850378784446,51.6187552510138,NA,"K6704L2","K6704","K6704L2",1.18775117284333,0.263060111831714,"NA","no_tpu"
"41","SS",19.7794962782652,36.5961509135292,NA,"K6705L1","K6705","K6705L1",0.518672269660285,0.151184579293191,"NA","no_tpu"
"51","SS",23.8766834288716,43.189880886,NA,"K6705L2","K6705","K6705L2",0.765845662743723,0.131569333152491,"NA","no_tpu"
"61","SS",27.4969218092616,49.0589781668015,NA,"K6706L1","K6706","K6706L1",3.22292790192556,0.536139047937086,"NA","no_tpu"
"7","SS",34.3921159858005,68.0705279592811,NA,"K6706L2","K6706","K6706L2",0.505307115864926,0.163952897355206,"NA","no_tpu"
"8","SS",64.2091415534769,97.3764422710052,NA,"K6707L1","K6707","K6707L1",2.05009890342008,0.647401764722568,"NA","no_tpu"
"9","SS",83.1847801101414,114.515185754827,NA,"K6707L2","K6707","K6707L2",1.28060273586466,0.713441652688177,"NA","no_tpu"
"10","SS",26.7403772016636,49.8467252331649,NA,"K6708L1","K6708","K6708L1",0.674053165573321,0.256839690012151,"NA","no_tpu"
"11","SS",24.7520492452971,48.0803797832776,NA,"K6708L2","K6708","K6708L2",1.12564010901224,0.195522659955657,"NA","no_tpu"
"12","SS",61.8109104187878,101.543738218681,NA,"K6709L2-2","K6709","K6709L2",3.26593430433517,0.802424838183987,"NA","no_tpu"
"141","SS",60.7015736683179,99.3203356538318,NA,"K6709L6","K6709","K6709L6",3.19736575629964,0.975003190210186,"NA","no_tpu"
"15","SS",63.9907048708024,105.934715873284,NA,"K6709L8","K6709","K6709L8",3.50577452612926,1.5773889554627,"NA","no_tpu"
"161","SS",25.8682799595775,44.2928120441761,NA,"K6713L1","K6713","K6713L1",0.427919596653318,0.12310532068482,"NA","no_tpu"
"17","SS",18.9133596747589,38.4232236937433,NA,"K6713L2","K6713","K6713L2",1.08539657044808,0.115487137642433,"NA","no_tpu"
"18","SS",33.9742611234906,52.4084478887469,NA,"K6713L3","K6713","K6713L3",0.576191329126075,0.195636407818263,"NA","no_tpu"
"191","SS",21.9548185074285,27.8637080930005,NA,"K6714L1","K6714","K6714L1",0.0632309920994458,0.208476143409818,"NA","no_tpu"
"201","SS",19.8808847672953,30.1627239928178,NA,"K6714L2","K6714","K6714L2",3.57098419907716,0.205066831862048,"NA","no_tpu"
"211","SS",22.0742612154155,46.0320627445871,NA,"K6715L1","K6715","K6715L1",0.507034619255254,0.15781255727701,"NA","no_tpu"
"221","SS",28.547321190725,54.9771682074288,NA,"K6715L2","K6715","K6715L2",0.525425987424911,0.143423485481895,"NA","no_tpu"
"23","SS",36.9666800180096,62.09438847834,NA,"K6716L1","K6716","K6716L1",0.598410008825395,0.143162823384647,"NA","no_tpu"
"24","SS",34.3777378622275,60.797376697413,NA,"K6716L2","K6716","K6716L2",1.11080868539665,0.275441157499039,"NA","no_tpu"
"251","SS",43.2766999579409,69.4989289698232,NA,"K6717L1","K6717","K6717L1",0.360727379072067,0.34544770533905,"NA","no_tpu"
"261","SS",43.6113708143378,71.9036163797259,NA,"K6717L2","K6717","K6717L2",1.86897213755712,0.228912501798492,"NA","no_tpu"
"271","SS",17.831018132625,40.7319651697927,NA,"K6718L1","K6718","K6718L1",0.974545738272379,0.186413348371928,"NA","no_tpu"
"281","SS",11.0430366530893,24.0306209492233,NA,"K6718L2","K6718","K6718L2",0.288632430880923,0.144140991516631,"NA","no_tpu"
