"","curv_meth","vcmax","jmax","tpu","treeid","leaf_id","leaf_unique","V_cmax_se","J_se","V_TPU_se","fit_type"
"2","DAT",21.8103222569684,48.8281551067154,4.72988428737957,"K6704","K6704L1","K6704L1",0.276818013922102,0.0345678883602051,"0.0113070131020347","tpu"
"3","DAT",17.9826864204531,47.7909426331716,4.57662193194756,"K6704","K6704L2","K6704L2",0.196719310508659,0.0523876760830075,"0.0105535636108613","tpu"
"4","DAT",19.9694799846868,39.835308650493,NA,"K6705","K6705L1","K6705L1",0.1945400828436,0.0218048522839652,"NA","tpu"
"5","DAT",20.1521335279713,38.6082910696462,NA,"K6705","K6705L1-1","K6705L1",0.215940860204727,0.020869456753518,"NA","tpu"
"6","DAT",24.5944020324992,44.7139693813542,3.56962919001199,"K6705","K6705L2","K6705L2",0.304951903232841,0.0486957109552318,"0.0070309264634975","tpu"
"13","DAT",28.453732046112,46.8714935715359,NA,"K6708","K6708L1","K6708L1",0.277111831183217,0.042009627592919,"NA","tpu"
"14","DAT",24.2797110809525,42.1923071395358,NA,"K6708","K6708L2","K6708L2",0.261377927779304,0.0239008157129349,"NA","tpu"
"16","DAT",56.2500633279463,90.964845977723,6.80877152793294,"K6709","K6709L2-2","K6709L2",1.60189284378877,0.158727609434267,"0.0124906290687329","tpu"
"19","DAT",67.6327173414248,100.547596077738,8.36318813979826,"K6709","K6709L8","K6709L8",0.500316799425362,0.0458586475324213,"0.0240301007483389","tpu"
"20","DAT",24.7465720053319,35.9814421670951,3.43605602339263,"K6713","K6713L1","K6713L1",0.497383322731076,0.0274777419243857,"0.0155787989461619","tpu"
"21","DAT",20.4203876928336,36.9942418321941,NA,"K6713","K6713L2","K6713L2",0.240616414506677,0.0175951722674332,"NA","tpu"
"22","DAT",32.3355745742297,49.9302769488151,4.28440470873387,"K6713","K6713L3","K6713L3",0.353394273052624,0.0385716366828501,"0.00787539923213734","tpu"
"25","DAT",21.873215904353,40.8135510722638,3.9528412244111,"K6715","K6715L1","K6715L1",0.213273759930378,0.0290336585852711,"0.0117714775324755","tpu"
"26","DAT",21.0762285558965,35.8780875432773,3.48497640220626,"K6715","K6715L1-1","K6715L1",0.203964604206385,0.0297018950215509,"0.0123199742235202","tpu"
"27","DAT",28.9085890852689,48.5082648723963,NA,"K6715","K6715L2","K6715L2",0.335477043005393,0.0249066516881023,"NA","tpu"
"28","DAT",34.953904964134,53.0223094306979,NA,"K6716","K6716L1","K6716L1",0.586150107258752,0.0477266407706243,"NA","tpu"
"29","DAT",33.2001972920477,55.4474357715096,4.24506229515506,"K6716","K6716L2","K6716L2",0.325322883292822,0.0848387654376829,"0.00614216908824102","tpu"
"30","DAT",39.691848414264,66.2327632525711,NA,"K6717","K6717L1","K6717L1",0.452862201863798,0.0329877987828296,"NA","tpu"
"31","DAT",41.4364510995175,70.9515945309389,NA,"K6717","K6717L2","K6717L2",0.503598573323397,0.0418236954616537,"NA","tpu"
"32","DAT",15.9072784804641,36.3299929058312,3.6233057619776,"K6718","K6718L1","K6718L1",0.264161428955496,0.0337987494190749,"0.0112550038519973","tpu"
"33","DAT",10.0682256962695,22.7477136934297,2.25434412806979,"K6718","K6718L2","K6718L2",0.150963424960237,0.0185646845444514,"0.00818254993952407","tpu"
"1","SS",16.3106150300695,31.3020721628793,NA,"K6702","K6702L1","K6702L1",1.67371354436105,0.09729211232612,"NA","tpu"
"210","SS",24.4931120450877,58.2839376745969,NA,"K6704","K6704L1","K6704L1",1.1173734052604,0.266883328636755,"NA","tpu"
"34","SS",20.1793352706717,51.5802937688626,NA,"K6704","K6704L2","K6704L2",1.06327578279703,0.263206349696671,"NA","tpu"
"41","SS",19.8125969587539,36.5864769659115,NA,"K6705","K6705L1","K6705L1",0.427484058468241,0.151217189936986,"NA","tpu"
"51","SS",24.1288398173239,43.1936495799265,NA,"K6705","K6705L2","K6705L2",0.659247080632461,0.131601906656122,"NA","tpu"
"61","SS",32.5138241370766,55.4168752079265,4.34150068711987,"K6706","K6706L1","K6706L1",0.591045188867894,0.229828872562905,"0.0561697194136873","tpu"
"7","SS",34.5496161512121,67.9857089292551,NA,"K6706","K6706L2","K6706L2",0.756195226167329,0.163861663249114,"NA","tpu"
"8","SS",65.4855366664824,102.81377558292,8.0502035473069,"K6707","K6707L1","K6707L1",2.63514577347976,0.309580690357719,"0.0193291823177187","tpu"
"9","SS",83.7606155462936,120.564104069219,9.35870983642204,"K6707","K6707L2","K6707L2",1.25497595790984,0.502899003124862,"0.0765252859059496","tpu"
"10","SS",27.8865618325463,49.7825557082195,NA,"K6708","K6708L1","K6708L1",1.59283855826028,0.225883842145519,"NA","tpu"
"11","SS",24.6680494613608,48.1444832563571,NA,"K6708","K6708L2","K6708L2",1.00407905107659,0.195920508741473,"NA","tpu"
"12","SS",61.1651558755586,103.396664442859,NA,"K6709","K6709L2-2","K6709L2",8.02705980165812,0.810991423364486,"NA","tpu"
"141","SS",64.087329857084,109.420811557176,7.97208879829663,"K6709","K6709L6","K6709L6",1.71298051460609,0.326673741408975,"0.157028363700111","tpu"
"15","SS",63.9964541713729,105.950686888752,NA,"K6709","K6709L8","K6709L8",3.29930012988835,1.5778460197083,"NA","tpu"
"161","SS",25.9454081990083,44.241975300481,NA,"K6713","K6713L1","K6713L1",0.511748050245616,0.123120752931928,"NA","tpu"
"17","SS",20.9434138668724,38.2471349161648,NA,"K6713","K6713L2","K6713L2",0.701970453621975,0.149162108825422,"NA","tpu"
"18","SS",33.3925662129997,52.4060489267257,NA,"K6713","K6713L3","K6713L3",1.18057680121271,0.195688154536033,"NA","tpu"
"191","SS",24.3350631562492,30.9732916753656,2.43705247280359,"K6714","K6714L1","K6714L1",0.55864924432215,0.180097911749394,"0.0344066258899883","tpu"
"201","SS",28.3638435247501,35.9907029297347,2.73908284050547,"K6714","K6714L2","K6714L2",0.453579417423463,0.262864127245734,"0.0451856467174997","tpu"
"211","SS",22.0753110254231,45.9968152162558,NA,"K6715","K6715L1","K6715L1",0.452136813887309,0.157767967918057,"NA","tpu"
"221","SS",28.8012289613707,54.8589916399212,NA,"K6715","K6715L2","K6715L2",1.10611233166407,0.143445399015309,"NA","tpu"
"23","SS",38.0419236587828,62.2812402704702,NA,"K6716","K6716L1","K6716L1",1.3308280871627,0.133089403453129,"NA","tpu"
"24","SS",34.5801821624807,60.7850439960835,NA,"K6716","K6716L2","K6716L2",0.999529792691676,0.275380520852336,"NA","tpu"
"251","SS",43.8799162038789,69.5967267872752,NA,"K6717","K6717L1","K6717L1",0.938787389832641,0.344985449156968,"NA","tpu"
"261","SS",49.0807446131383,72.5194841918919,NA,"K6717","K6717L2","K6717L2",2.11771023325963,0.245058632710372,"NA","tpu"
"271","SS",17.831018132625,40.7319651697927,NA,"K6718","K6718L1","K6718L1",0.974545738272379,0.186413348371928,"NA","tpu"
"281","SS",11.2965129614841,24.1745018321005,NA,"K6718","K6718L2","K6718L2",0.231198194301214,0.1229054875288,"NA","tpu"
