"","treeid","vc_diff","j_diff","vc_diff_se","j_diff_se","rel_can_pos.x","treename","family","gen_spec","gen_spec_id","overshoot","rel_can_pos.y"
"1","K6714",-1.43541426544685,14.7877098602667,0.0437349489652116,2.43187743753602,12,14,"Annonaceae","Anaxagorea dolichocarpa","Anaxagorea dolichocarpa","1",12
"2","K6702",-0.977591247522799,7.4520103948435,NA,NA,11,2,"Lecythidaceae","Couratari stellata","Couratari stellata","Partial",11
"3","K6713",0.417788828477266,4.072840892854,0.324636927482567,0.713599259703895,10,13,"Hypericaceae","Vismia cayennensis","Vismia cayennensis","0",10
"4","K6717",2.8798856292486,2.10909378301955,0.191867419600431,0.314915092729435,9,17,"Euphorbiaceae","Aparisthmium cordatum","Aparisthmium cordatum","0",9
"5","K6715",0.119135545373426,7.07757338592452,0.130749255386138,0.165659005155482,8,15,"Rubiaceae","Coussarea paniculata","Coussarea paniculata","0",8
"6","K6716",1.92316604394555,7.2188350924468,0.0243884834094008,0.504389117680646,7,16,"Melastomataceae","Miconia egensis","Miconia egensis","0",7
"7","K6705",-0.499514540845725,-2.0748687209473,0.059387623735313,0.149903390346455,6,5,"Burseraceae","Protium apiculatum","Protium apiculatum","0",6
"8","K6718",1.44927530449035,2.84243975987755,0.129132839215036,0.424450985810067,5.2,18,"Fabaceae","Abarema mataybifolia","Abarema mataybifolia #2","0",5.2
"9","K6704",2.43621092830695,6.6938763200042,0.0636484859767112,0.780043737845445,5.1,4,"Fabaceae","Abarema mataybifolia","Abarema mataybifolia #1","0",5.1
"10","K6706",2.11277949217355,8.71700849378794,0.156844734515894,1.21356323201234,4,6,"Lecythidaceae","Eschweilera sp. trufle1","Eschweilera sp. trufle1","1",4
"11","K6708",-0.620508340051899,4.4316521526854,0.297435144772853,0.396387450446877,3,8,"Rubiaceae","Chimarrhis turbinata","Chimarrhis turbinata","0",3
"12","K6707",-1.69524526524588,5.8019926993783,1.08603280789021,0.636126497225096,2,7,"Fabaceae","Tachigali chrysophylla","Tachigali chrysophylla","1",2
"13","K6709",4.51877333440297,27.7728791002216,1.82925984918115,5.7561902550579,1,9,"Sapotaceae","Manilkara elata","Manilkara elata","1",1
