"","treeid","vc_diff","j_diff","vc_diff_se","j_diff_se","rel_can_pos.x","treename","family","gen_spec","gen_spec_id","overshoot","rel_can_pos.y"
"1","K6714",NA,NA,NA,NA,12,14,"Annonaceae","Anaxagorea dolichocarpa","Anaxagorea dolichocarpa","1",12
"2","K6702",NA,NA,NA,NA,11,2,"Lecythidaceae","Couratari stellata","Couratari stellata","Partial",11
"3","K6713",0.926284668828398,4.1438286845239,0.0817547776341341,0.830883981865812,10,13,"Hypericaceae","Vismia cayennensis","Vismia cayennensis","0",10
"4","K6717",5.91618065161785,2.4659265978285,0.560673848696936,0.291361656255753,9,17,"Euphorbiaceae","Aparisthmium cordatum","Aparisthmium cordatum","0",9
"5","K6715",0.377537639158849,6.16393932944577,0.157321608452452,0.0606018473091736,8,15,"Rubiaceae","Coussarea paniculata","Coussarea paniculata","0",8
"6","K6716",4.12200378120385,11.2989717175137,0.33546906033795,0.661876660704149,7,16,"Melastomataceae","Miconia egensis","Miconia egensis","0",7
"7","K6705",0.391748049283175,0.0900451565872764,0.207629742762281,0.884226156592599,6,5,"Burseraceae","Protium apiculatum","Protium apiculatum","0",6
"8","K6718",2.3288147111833,1.8389788726991,0.307890503228577,0.406723643417014,5.2,18,"Fabaceae","Abarema mataybifolia","Abarema mataybifolia #2","0",5.2
"9","K6704",3.29953797858525,5.21832579223455,0.0717809310347075,0.830510855290434,5.1,4,"Fabaceae","Abarema mataybifolia","Abarema mataybifolia #1","0",5.1
"10","K6706",NA,NA,NA,NA,4,6,"Lecythidaceae","Eschweilera sp. trufle1","Eschweilera sp. trufle1","1",4
"11","K6708",-0.0894159165786998,4.43161912675245,0.155003962017119,0.493333831678568,3,8,"Rubiaceae","Chimarrhis turbinata","Chimarrhis turbinata","0",3
"12","K6707",NA,NA,NA,NA,2,7,"Fabaceae","Tachigali chrysophylla","Tachigali chrysophylla","1",2
"13","K6709",NA,NA,NA,NA,1,9,"Sapotaceae","Manilkara elata","Manilkara elata","1",1
