"Tree_id","DAT","person","Mean.Tleaf","Max.Tleaf","Asat","Amax","Amin","Ci.at.Asat","E.at.Asat","Ca","A.Ci","Ci.Ca","gs.at.Asat","gs.index","Mean.gs","mean.RH","Flow","mean.Press","Max.VPD","Ciindex","Vcmax_1ptR1","Vcmax_1ptR2","Vcmax_1ptR3","vcmax_Best_Model","Jmax_Best","TPU_Best","Rd_Best","p5","sequencia","erros","Vcmax_One_Point_Method_25C_1","Vcmax_One_Point_Method_25C_2","Vcmax_One_Point_Method_25C_3","Best_Vcmax_25C","Best.Jmax_25C","Best_Vcmax_25C_Bernac","Best.Jmax_25C_Bernac","GammaStar","Kmi","TleafK.Asat","Gma2","Km2"
K6702L1_Before_DAT,Before_DAT,Charlie,31.5551127750933,31.6190375,5.361992167,7.220667366,0.405880262,271.5229891,0.001508425,396.8066667,0.0197478386076002,0.684270230029379,0.075838561,0.32272542144001,0.0761445934666667,60.0220621458133,500.149092552533,99.6671777585333,1.978917445,0.97417971817568,43.007642308451,43.29940024804,38.4405706842247,56.7762533867106,90.9369417855429,3.02502210680391,1.94886474541173,0,1,0.06,25.2932998841414,22.6073513879317,25.4648861572665,33.347529853046,72.9268734812105,32.2148979448351,62.1292237161825,5.92941208856357,124.792115482949,304.68114,59.2941208856357,1247.92115482949
K6704L1_Before_DAT,Before_DAT,Emmy,31.3259849606299,31.48685,6.658335,15.38856,-0.4012608,310.4332,0.002536332,404.2019,0.0214485274126608,0.768015192407557,0.1318456,0.438487830504783,0.160742060367454,60.2228184514436,500.126745406824,99.3785481364829,1.920684,0.966376629202133,44.9888813352728,45.2558691431192,40.8959846375901,63.278784776,77.85662452,5.3288826536,0.767567960800009,3.15544362088405e-30,4,0.1,26.6649347334233,24.239072607601,26.8231785541085,37.6399783260104,62.6628726044003,36.6080254115583,53.8908010988179,5.88845976216051,123.281384996477,304.53981,58.8845976216051,1232.81384996477
K6704L2_Before_DAT,Before_DAT,Charlie,31.3661042216359,31.42571,6.095425,15.09333,-0.05452939,309.1677,0.002434629,399.1302,0.019715594481571,0.774603625583832,0.1262856,0.354424977472255,0.116139761873351,59.8769822691293,500.115640633245,99.4390886015831,1.928153,0.966487595489931,41.32408216129,41.5710669001975,37.5531060070044,62.103149393,76.497237985,5.2707011573,0.754673471899988,0,4,0.12,24.5127486966006,22.2758692312543,24.6592558788559,36.8573895485798,61.527996108558,35.8059459877972,52.8290202716422,5.8842518661529,123.126676588038,304.52524,58.842518661529,1231.26676588038
K6705L1-1_Before_DAT,Before_DAT,Charlie,31.3658377248677,31.40433,5.71948,11.1987,0.2474173,301.274,0.002105266,397.3374,0.0189843132829252,0.758232172455953,0.1094235,0.56193131144827,0.088822092962963,59.8806295767196,500.118114285714,99.4460045502645,1.922667,0.96763725285722,39.780757445717,40.0274890935859,36.0653262327784,46.59434327,58.56441415,3.878289347,0.792868040999996,3.15544362088405e-30,4,0.03,23.6577763021296,21.4481944302511,23.8045086045475,27.6535333014732,47.1045340387226,26.8648567910132,40.4452193812835,5.87110780714142,122.644044213972,304.47967,58.7110780714142,1226.44044213972
K6705L1_Before_DAT,Before_DAT,Charlie,31.3820764116095,31.42936,5.962789,12.23901,0.4460257,300.7757,0.002077999,402.2541,0.0198247032589401,0.747725629148342,0.1073754,0.463084606901187,0.0913209174670185,59.9489065435356,500.121096569921,99.4631927176781,1.925704,0.971421787700113,41.6573886722902,41.9151270582018,37.7509830577221,50.736961721,63.354521545,4.2559729181,0.7807487543,3.15544362088405e-30,4,0.05,24.7345797648129,22.4151040524162,24.8876150574217,30.0848102264411,50.9438354445571,29.2131382035537,43.7128830617534,5.87922717821441,122.942064946131,304.50783,58.792271782144,1229.42064946131
K6705L2_Before_DAT,Before_DAT,Charlie,31.2864293766938,31.33091,3.936962,10.27211,-0.2493063,246.6338,0.002094375,313.7265,0.0159627836898268,0.786142707103162,0.1098089,0.386176286829522,0.0974272158807588,59.9266516531165,500.123239295393,99.3350183739837,1.898614,0.966924541582613,34.7615475391475,35.0397024598853,30.7412814802407,46.1857141916,82.2746109094,3.77959147995984,1.49983243987953,0,1,0.02,20.7451210003589,18.3458922044679,20.9111192914607,27.5342284388122,66.2627817317287,26.8090928216063,57.0773086954799,5.85341502492758,121.995883486546,304.41819,58.5341502492758,1219.95883486546
K6706L1_Before_DAT,Before_DAT,Charlie,31.7211655466667,31.76005,8.778461,14.63409,0.6634425,275.8365,0.002901358,387.0833,0.0318248708927209,0.7126024295029,0.1433561,0.0295335349836713,0.143652388533333,60.0372986666667,500.134736266667,99.19242936,2.00227,0.972800013926894,70.1129913883101,70.5631299863498,62.6953754878394,82.1667664598,111.7046308807,4.12727940837915,2.05496822513745,3.15544362088405e-30,1,0.1,40.8830750088886,36.5578431047678,41.1455520435102,47.837866364225,89.3715769136211,45.9712301600504,75.6010203795281,5.97621810188527,126.53004936588,304.84164,59.7621810188527,1265.3004936588
K6706L2_Before_DAT,Before_DAT,Emmy,31.4462465240642,31.46616,8.885514,16.1878,-0.4426187,314.6596,0.00389468,398.9823,0.0282384964577594,0.78865553684963,0.2013677,0.0619750790004274,0.200629381283422,59.9862963636364,500.13658342246,99.075991631016,1.931692,0.968712658588704,59.3846677809689,59.7286884420462,54.0354813310747,66.46143838,81.5367251,5.595159718,0.766219154000009,0,4,0.07,35.0998797649136,31.9381916011623,35.3032164895543,39.2686128510826,65.4971328764096,38.0594647735737,56.0529785297522,5.90290538654619,123.813234333072,304.58976,59.0290538654619,1238.13234333072
K6707L1-1_Before_DAT,Before_DAT,Charlie,31.3397595,31.47157,16.43086,21.21804,-0.1918656,260.516,0.005420991,365.6481,0.0630704448095318,0.712477379206948,0.2888388,0.0839524016281149,0.291861223157895,59.9079440526316,500.142476052632,99.2637071578947,1.934704,0.969547717572296,136.006905607874,137.013940132823,121.153121467937,139.037865348,158.221268682,7.55514615880051,1.97296847640153,0,1,0.09,80.9202288346577,72.082651019824,81.5193856483433,82.639349296616,127.315178002292,80.3422943850991,109.431717903447,5.86881446230169,122.559932637633,304.47171,58.6881446230169,1225.59932637633
K6707L1_Before_DAT,Before_DAT,Charlie,31.3480924010554,31.40849,17.44208,22.00404,-0.1823936,273.6718,0.00559282,381.5692,0.063733566995211,0.717227176616981,0.2997421,0.0552088416747596,0.301468818733509,59.9631857519789,500.14752005277,99.2394147493404,1.911846,0.969463225292968,135.664763127645,136.611516437284,121.650141783506,146.553050144,164.368171696,7.34662668639672,2.18263005919016,1.26217744835362e-29,1,0.07,80.7833114640651,72.4381266497198,81.3470677831632,87.0652729446309,132.243161498634,84.625118854261,113.629207832554,5.86461585038839,122.406017444429,304.45713,58.6461585038839,1224.06017444429
