"obs","time...2","elapsed","date","hhmmss...5","averaging","Leaf_position","Scientist","Site","Species","Tree_Identifier","Leaf_number","Data_point","TIME...14","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","aVc","Edyn","Hr","Hs","dHs.dt","aVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME...64","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","X.U.0394.Pcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","X.U.0394.CO2","CO2_s_d","CO2_r_d","X.U.0394.H2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time...110","hhmmss...111","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_.","Flow_.","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","Data_QC","fourlettercode","SciName","k67.id","unique"
1150,1659811111,14969,"20220806 14:38:30","14:38:30",1,1,"Charlie","walkup_tower","Macaranduba","Maca1",2,"Traditional",1659811103,0.00194538,1.945380022,1.114313013,98.64377742,76.38450729,7.549541715,9.749559682,0.093748916,2.907682991,0.092101514,0.057709048,321.5184183,32.38680067,31.81854516,4.72625968,60.26234528,2.717243591,4.509023966,2.009016089,-85.79125897,-129.7494288,-10.06061314,95.91711741,0.935615506,1.943454677,1.114313013,102.6277857,101.2563939,-4.68e-06,65.60813263,1.945380022,25.22564836,27.49466484,9.77e-05,85.73501911,0,0,1,0,51534.77765,2000.01129,1681.209803,0.840600156,0.160758302,6,0.5,"0: Broadleaf",2,TRUE,1659811103,98.64377742,99.99620968,27.49243871,25.22500968,97.85077742,27.47343871,500.1323548,98.73611613,0.09991729,30.99084516,31.81854516,999.9,0,0,10002.29065,0,1995.054839,-1.50820129,101.2720323,102.5839032,2.265375161,99.99620968,25.22500968,2.714292581,2.490619355,22.37191613,20.96533226,2000.01129,0.979993387,0.020006526,0,2.663193548,0,19243.43871,17412.39355,45.03,46.76,45.125,44.76,44.917,1960.000645,40.01064516,0,1659811110,0,1659811136,"14:38:56",1659811132,1659811136,22,0.153,-0.001,0.793,0.019,100,25,0.45,0.05,4,6,"6-Apr",2.93947,2.80129,0.0252997,0.025738,0.116898,0.109985,19901.8,20854.6,23764.7,24932.2,33602,35441.9,43352.5,46099.6,1.93035,1.76257,0.07255,0,30.6368,999.9,42.9,41.2,"34.3364",63.5944,25.9495,1,0.676263,4.41215,20.2649,5.21729,11.9081,5.00525,3.29185,"9999","9999","9999","999.9","1.85989",1.8549,1.85806,1.85655,1.85531,1.85486,1.85376,1.85669,0,0,0,0,0,"iiiiiiii","off","off","off","off",0,100,100,0.793,0.019,0.354421703,0.003023906,-1.4e-06,2.8e-10,-0.067059445,0.010309082,-0.000363211,3.61e-06,0,2134,3,46,2.7,2.6,0.375977,2.42676,1.4978,2.30347,1.54785,2.27051,43.6173,14.7449,18,503.83,458.558,24.7501,35.2603,30,35.0352,35.1364,7.55685,25.5881,0,24.7534,100,25.1085,100.23,99.9015,"OK","MAEL","Manilkara elata","K67-WT-09","K6709L2-2"
1151,1659811219,15077,"20220806 14:40:18","14:40:18",1,1,"Charlie","walkup_tower","Macaranduba","Maca1",2,"Traditional",1659811211,0.002218592,2.218592391,-0.501914605,50.55671333,56.30702517,5.565213166,4.996870032,0.108563443,2.907470883,0.106360683,0.066669613,321.5145428,32.26723308,31.72575,4.701459939,60.42725613,2.717179908,4.496613088,1.984280031,-97.83992445,-122.7699219,-9.513504453,91.39119198,-0.587180486,2.202496812,-0.501914605,51.33162341,51.94922242,-1.47e-05,65.59483945,2.218592391,24.91728193,27.50446264,0.0001792,85.7695637,0,0,1,0,51536.98669,1999.987,1681.1894,0.840600164,0.160758316,6,0.5,"0: Broadleaf",2,TRUE,1659811211,50.55671333,49.98587333,27.49154667,24.92191,49.87671333,27.47354667,500.1361,98.73687,0.10005398,30.94251667,31.72575,999.9,0,0,10001,0,2020.002333,0.545333067,51.95954333,51.26343667,2.567701,49.98587333,24.92191,2.714238333,2.460711333,22.37156667,20.76893333,1999.987,0.9799934,0.020006513,0,2.607666667,0,19208.84667,17412.18,45.062,46.87706667,45.2332,44.8603,44.937,1959.976333,40.01066667,0,1659811218,0,1659811244,"14:40:43",1659811241,1659811244,23,0.027,-0.002,0.68,0.018,50,25,0.47,0.04,3,6,"6-Mar",2.93976,2.80149,0.0131283,0.0131227,0.116925,0.10905,20148.8,21122.5,23763.6,24930.4,33598.9,35475.6,43350.5,46095.7,1.93025,1.76145,0.0683442,0,30.6313,999.9,43,41.2,"34.4138",63.7444,25.2644,1,0.676413,3.92031,20.2765,5.21864,11.9081,5.00535,3.29158,"9999","9999","9999","999.9","1.85989",1.85488,1.85806,1.85655,1.8553,1.85486,1.85377,1.85668,0,0,0,0,0,"iiiiiiii","off","off","off","off",0,100,100,0.68,0.018,0.507099969,0.003023906,-1.4e-06,2.8e-10,-0.067936226,0.010309082,-0.000363211,3.61e-06,0,2134,3,46,1.4,1.4,0.26123,2.42676,1.4978,2.30469,1.54785,2.41699,43.6173,14.7274,18,503.968,458.032,25.0564,35.2861,29.9998,35.0639,35.1652,5.28418,26.5444,0,25.0898,50,24.7726,100.225,99.8935,"OK","MAEL","Manilkara elata","K67-WT-09","K6709L2-2"
1152,1659811336,15194.5,"20220806 14:42:16","14:42:16",1,1,"Charlie","walkup_tower","Macaranduba","Maca1",2,"Traditional",1659811328,0.00242283,2.422830326,11.63522309,384.959,212.6613042,21.01749911,38.04582817,0.116964253,2.90656668,0.11441094,0.0717316,321.5146423,32.27892246,31.78917333,4.718397694,59.91462341,2.704091333,4.513240974,2.014306361,-106.8468174,-122.5280329,-9.503714108,82.63607787,11.61964195,2.409361393,11.63522309,410.011553,395.8747152,-0.033765269,65.58876082,2.422830326,24.54063776,27.36773736,-7.51e-06,85.78748415,0,0,1,0,51500.30354,1999.993333,1681.194248,0.840599926,0.160757857,6,0.5,"0: Broadleaf",2,TRUE,1659811328,384.959,400.0114333,27.3608,24.54944667,383.629,27.3458,500.1376333,98.73048,0.100377767,31.00724,31.78917333,999.9,0,0,9996.471667,0,1964.148667,-14.87769,395.9673333,410.0787333,2.810712,400.0114333,24.54944667,2.701282,2.423778333,22.29291667,20.52353,1999.993333,0.9800047,0.019995547,0,2.5112,0,19010.71667,17412.28667,44.875,46.6954,45.0704,44.5872,44.75,1960.002,39.995,0,1659811335,0,1659811358,"14:42:38",1659811355,1659811358,24,-0.206,-0.003,1.33,0.015,400,25,0.26,0.03,3,6,"6-Mar",2.93954,2.80133,0.0839486,0.0865348,0.116523,0.107992,18705.4,19554.5,23764.5,24932.2,33618.5,35524,43352.3,46099.7,1.9311,1.76338,0.0688359,0,30.6676,999.9,42.9,41.1,"34.1544",63.5544,26.0337,1,0.673918,4.20361,20.2701,5.21699,11.9081,5.00505,3.29173,"9999","9999","9999","999.9","1.85982",1.85486,1.85801,1.85654,1.85522,1.85478,1.85366,1.85663,0,0,0,0,0,"iiiiiiii","off","off","off","off",0,100,100,1.33,0.015,0.534598159,0.003023906,-1.4e-06,2.8e-10,-0.069827202,0.010309082,-0.000363211,3.61e-06,0,2134,3,46,1.6,1.5,1.03271,2.39502,1.4978,2.30347,1.54785,2.39624,43.4808,14.6749,18,504.265,459.027,24.9689,35.2291,30,35.0311,35.1301,20.6942,26.7822,0,24.9587,400,24.6249,100.229,99.9018,"OK","MAEL","Manilkara elata","K67-WT-09","K6709L2-2"
1153,1659811469,15327.5,"20220806 14:44:29","14:44:29",1,1,"Charlie","walkup_tower","Macaranduba","Maca1",2,"Traditional",1659811461,0.002436249,2.436249163,17.08880829,577.4966129,327.3226228,32.34701291,57.06996428,0.118595476,2.907315117,0.115971968,0.072713358,321.5144924,32.27042226,31.73480968,4.703876159,59.96644886,2.705705984,4.512033037,1.998170175,-107.4385881,-114.7745344,-8.897441491,90.40392837,17.30634643,2.478154537,17.08880829,615.0743152,593.8264485,0.045434616,65.57361786,2.436249163,24.54042351,27.38258681,6.97e-05,85.82538775,0,0,1,0,51522.10912,1999.989032,1681.190913,0.840600066,0.160758128,6,0.5,"0: Broadleaf",2,TRUE,1659811461,577.4966129,599.975129,27.37930645,24.48777097,575.7766129,27.36130645,500.1434839,98.72305161,0.099976965,31.00254516,31.73480968,999.9,0,0,10001.50806,0,1904.859677,-22.53912903,593.6866452,615.036,2.884752903,599.975129,24.48777097,2.702299677,2.417508065,22.29909677,20.4815129,1999.989032,0.979996,0.020003981,0,2.594129032,0,19186.79677,17412.21613,44.83232258,46.687,45.02,44.5,44.687,1959.984839,40.00419355,0,1659811469,0,1659811500,"14:44:59",1659811497,1659811500,25,0.023,0.004,1.72,0.018,600,25,0.14,0.04,4,6,"6-Apr",2.93965,2.80066,0.113491,0.116614,0.116583,0.108017,18102.9,18911.5,23765.4,24933.5,33618.7,35525.8,43353.9,46101.8,1.9314,1.7653,0.0604168,0,30.7556,999.9,42.7,41,"33.8183",63.6644,25.5088,1,0.671474,4.20608,20.2693,5.21564,11.9081,5.00445,3.29113,"9999","9999","9999","999.9","1.85983",1.85486,1.85802,1.85652,1.85522,1.85475,1.85364,1.85658,0,0,0,0,0,"iiiiiiii","off","off","off","off",0,100,100,1.72,0.018,0.328415421,0.003023906,-1.4e-06,2.8e-10,-0.072945673,0.010309082,-0.000363211,3.61e-06,0,2134,3,46,1.9,1.9,1.43311,2.37915,1.4978,2.30347,1.54785,2.45361,43.3991,14.6049,18,504.279,460.132,24.955,35.1989,30.0001,35.0066,35.111,28.7032,26.5054,0,24.9536,600,24.5288,100.233,99.9065,"OK","MAEL","Manilkara elata","K67-WT-09","K6709L2-2"
1154,1659811723,15581,"20220806 14:48:42","14:48:42",1,1,"Charlie","walkup_tower","Macaranduba","Maca1",2,"Traditional",1659811715,0.001954035,1.954034904,20.86222244,772.9859032,390.9705251,38.63575191,76.38655516,0.093548992,2.907605647,0.0919085,0.057587808,321.5172165,32.4017314,31.79559032,4.720114363,59.77677775,2.697990899,4.513443182,2.022123464,-86.17293928,-123.4545463,-9.57249618,102.3172347,20.97455495,1.958100938,20.86222244,820.4330276,794.5335576,0.044704492,65.60750011,1.954034904,25.0287129,27.30891319,4.35e-06,85.73418785,0,0,1,0,51529.33841,2000.006452,1681.205516,0.840600047,0.16075809,6,0.5,"0: Broadleaf",2,TRUE,1659811715,772.9859032,799.9648387,27.30204194,25.01705161,770.7339032,27.28904194,500.1266129,98.72025484,0.099859271,31.00802581,31.79559032,999.9,0,0,10003.45484,0,1874.395806,-27.25124839,794.4039355,820.4910968,2.286861613,799.9648387,25.01705161,2.69544871,2.46968871,22.25739032,20.82810645,2000.006452,0.979996581,0.020003429,0,2.823741935,0,19725.7,17412.38387,44.94106452,46.875,45.125,44.75,44.81606452,1960.003226,40.00322581,0,1659811722,0,1659811758,"14:49:18",1659811758,1659811743,26,0.236,-0.005,2.252,0.013,800,25,0.11,0.03,4,6,"6-Apr",2.93935,2.80052,0.138737,0.142009,0.116327,0.109478,17584.2,18364.4,23762.2,24930,33625.6,35463.7,43349.1,46095.1,1.9305,1.76632,0.0595152,0,30.8297,999.9,42.9,40.9,"33.8005",63.5644,25.7452,1,0.679726,4.4838,20.2629,5.21699,11.9081,5.00485,3.29168,"9999","9999","9999","999.9","1.85979",1.85481,1.85799,1.8565,1.85522,1.8548,1.85364,1.8566,0,0,0,0,0,"iiiiiiii","off","off","off","off",0,100,100,2.252,0.013,0.351399027,0.003023906,-1.4e-06,2.8e-10,-0.069398725,0.010309082,-0.000363211,3.61e-06,0,2134,3,46,3.8,3.7,1.81274,2.36694,1.4978,2.30347,1.54785,2.45361,43.2633,14.491,18,504.101,461.181,24.7545,35.2766,30.0004,35.0609,35.1684,36.3048,24.4667,0,24.7542,800,25.1196,100.221,99.8921,"OK","MAEL","Manilkara elata","K67-WT-09","K6709L2-2"
1155,1659811917,15775.1,"20220806 14:51:56","14:51:56",1,1,"Charlie","walkup_tower","Macaranduba","Maca1",2,"Traditional",1659811909,0.001453012,1.453012417,21.22428617,972.5738333,449.1070917,44.37925789,96.1064872,0.068795137,2.907032447,0.067903323,0.04251874,321.5164984,32.52948752,31.85544333,4.736152411,59.85986965,2.701222274,4.512576272,2.034930137,-64.0778476,-133.3386328,-10.34381468,113.7562033,21.45775984,1.461158269,21.22428617,1026.320257,1000.151394,0.007129865,65.57980852,1.453012417,25.63368906,27.3293033,-1.32e-05,85.80473548,0,0,1,0,51513.61951,2000.001667,1681.20152,0.84060006,0.160758115,6,0.5,"0: Broadleaf",2,TRUE,1659811909,972.5738333,1000.021367,27.3357,25.63068,970.1718333,27.3197,500.1289667,98.71665,0.099999087,31.00465667,31.85544333,999.9,0,0,10000.53833,0,1867.959333,-27.38933667,999.9614667,1026.326667,1.699123667,1000.021367,25.63068,2.697907,2.530174667,22.27237,21.22192,2000.001667,0.979996,0.020003983,0,2.2529,0,19895.72333,17412.31333,45.01446667,46.8225,45.17666667,44.75,44.875,1959.997,40.004,0,1659811916,0,1659811941,"14:52:20",1659811939,1659811941,27,-0.088,0.004,2.402,0.016,1000,26,0.15,0.06,2,6,"6-Feb",2.93975,2.80156,0.161313,0.16425,0.11638,0.111464,17118.5,17882.5,23757.4,24923.8,33618,35377.1,43341,46083.9,1.92915,1.76688,0.0588112,0,30.8964,999.9,42.8,40.8,"33.5439",63.4681,24.9279,1,0.690508,4.54629,20.2619,5.21849,11.9081,5.00525,3.29178,"9999","9999","9999","999.9","1.85976",1.8548,1.85794,1.85644,1.85516,1.85474,1.85364,1.85655,0,0,0,0,0,"iiiiiiii","off","off","off","off",0,100,100,2.402,0.016,0.587152763,0.003023906,-1.4e-06,2.8e-10,-0.0741169,0.010309082,-0.000363211,3.61e-06,0,2134,3,46,2.6,2.9,2.17773,2.37549,1.4978,2.30347,1.54785,2.38892,43.2362,14.3597,18,503.963,462.207,24.6856,35.3979,30.0006,35.1607,35.2669,43.5959,21.4,0,24.6815,1000,25.725,100.201,99.8676,"OK","MAEL","Manilkara elata","K67-WT-09","K6709L2-2"
1156,1659812031,15889.6,"20220806 14:53:51","14:53:51",1,1,"Charlie","walkup_tower","Macaranduba","Maca1",2,"Traditional",1659812023,0.001294094,1.29409426,22.84073444,1170.571,535.959521,52.96160307,115.6716398,0.060972461,2.907233573,0.060270864,0.037731653,321.5153554,32.57086422,31.88001,4.742748948,59.85379482,2.700944037,4.512569411,2.041804911,-57.06955689,-137.2024886,-10.64410714,116.5992028,23.01635454,1.312182754,22.84073444,1231.891765,1203.601273,0.03187699,65.57424793,1.29409426,25.79620307,27.30720879,-0.000134311,85.82138366,0,0,1,0,51519.30908,1999.992333,1681.19386,0.840600152,0.160758294,6,0.5,"0: Broadleaf",2,TRUE,1659812023,1170.571,1200.026,27.33294667,25.80177333,1167.934,27.31694667,500.1329,98.71648333,0.099940293,31.00463,31.88001,999.9,0,0,10001.70667,0,1860.937667,-29.52224,1203.392333,1231.808,1.529082667,1200.026,25.80177333,2.698005667,2.547060333,22.27297,21.33037667,1999.992333,0.9799932,0.020006707,0,2.687033333,0,20124.43,17412.23,45.15393333,47,45.312,45,45.05786667,1959.982333,40.01,0,1659812031,0,1659812053,"14:54:13",1659812052,1659812053,28,0.043,0,2.637,0.016,1200,26,0.19,0.06,3,6,"6-Mar",2.93922,2.80064,0.181364,0.184228,0.116265,0.111781,16704.2,17449,23752.2,24917.5,33616.2,35357,43332.1,46072.8,1.9255,1.76645,0.0619963,0,30.8873,999.9,42.8,40.8,"33.5468",63.4882,25.7332,1,0.701293,4.54904,20.261,5.21759,11.9081,5.00435,3.29173,"9999","9999","9999","999.9","1.85974",1.85478,1.85795,1.85645,1.85516,1.85471,1.85363,1.85654,0,0,0,0,0,"iiiiiiii","off","off","off","off",0,100,100,2.637,0.016,0.498443127,0.003023906,-1.4e-06,2.8e-10,-0.070318006,0.010309082,-0.000363211,3.61e-06,0,2134,3,46,1.5,1.5,2.52808,2.3645,1.4978,2.30469,1.54785,2.34863,43.3448,14.2896,18,502.48,462.665,24.6886,35.5263,30.0005,35.272,35.3741,50.6273,20.4739,0,24.6807,1200,25.9343,100.181,99.8431,"OK","MAEL","Manilkara elata","K67-WT-09","K6709L2-2"
1157,1659812167,16025.1,"20220806 14:56:06","14:56:06",1,1,"Charlie","walkup_tower","Macaranduba","Maca1",2,"Traditional",1659812159,0.001101529,1.101528972,23.88443061,1469.307,692.2097276,68.39823698,145.1843341,0.052067378,2.907400016,0.051554854,0.032267411,321.5208083,32.60960015,31.86818667,4.739573199,60.04770019,2.707914879,4.509606313,2.03165832,-48.57742765,-137.162798,-10.63919502,125.1413876,23.98028097,1.111203994,23.88443061,1540.458331,1510.919212,0.02300656,65.51959804,1.101528972,26.10786033,27.39323736,-1.64e-05,85.97400649,0,0,1,0,51525.8618,2000.032667,1681.22723,0.840599885,0.160757778,6,0.5,"0: Broadleaf",2,TRUE,1659812159,1469.307,1500.034,27.40487333,26.10833333,1466.426,27.38987333,500.1395667,98.71144667,0.099989023,30.99311,31.86818667,999.9,0,0,10003.17,0,1867.473,-30.75566,1510.675667,1540.246333,1.295236333,1500.034,26.10833333,2.705045333,2.577192,22.31579667,21.52236667,2000.032667,0.9800056,0.019994667,0,2.7065,0,20153.87333,17412.63,45.062,46.6912,45.13533333,44.79133333,44.937,1960.039667,39.993,0,1659812166,0,1659812188,"14:56:27",1659812187,1659812188,29,0.007,0,2.881,0.015,1500,26,0.11,0.1,3,6,"6-Mar",2.93916,2.80119,0.208367,0.211018,0.116509,0.112706,16151.8,16874.6,23752.6,24918.1,33608.4,35321.5,43332.7,46073,1.92663,1.7687,0.0660494,0,30.8012,999.9,42.7,40.8,"33.4617",63.6382,25.601,1,0.700737,4.55733,20.2615,5.22133,11.9081,5.0052,3.29173,"9999","9999","9999","999.9","1.85978",1.85485,1.85796,1.85645,1.85518,1.85472,1.85364,1.85657,0,0,0,0,0,"iiiiiiii","off","off","off","off",0,100,100,2.881,0.015,0.540176823,0.003023906,-1.4e-06,2.8e-10,-0.070425581,0.010309082,-0.000363211,3.61e-06,0,2134,3,46,1.9,1.9,3.03467,2.36694,1.4978,2.30469,1.54785,2.30103,43.3719,14.2196,18,503.354,464.271,24.6409,35.5302,30.0001,35.2977,35.3962,60.7582,19.072,0,24.6402,1500,26.0857,100.182,99.8443,"OK","MAEL","Manilkara elata","K67-WT-09","K6709L2-2"
1158,1659812364,16222.1,"20220806 14:59:23","14:59:23",1,1,"Charlie","walkup_tower","Macaranduba","Maca1",2,"Traditional",1659812356,0.000703917,0.70391711,21.63365188,1771.941452,671.7812087,66.37589935,175.0781444,0.032889443,2.906110255,0.032684048,0.020445877,321.5156523,32.73362811,31.89830323,4.747666162,59.80295164,2.699881713,4.514629528,2.047784449,-31.04274456,-138.7612992,-10.77059604,140.9410125,22.16250459,0.702918049,21.63365188,1849.09088,1822.291939,0.027127304,65.46685159,0.70391711,26.51056933,27.33184945,1.81e-05,86.13220314,0,0,1,0,51485.95596,1999.994194,1681.195423,0.840600152,0.160758293,6,0.5,"0: Broadleaf",2,TRUE,1659812356,1771.941452,1800.023871,27.32512581,26.50488387,1769.056452,27.30812581,500.1285806,98.70572581,0.100103377,31.01263548,31.89830323,999.9,0,0,9996.366129,0,1869.689355,-27.89399355,1821.906452,1849.030968,0.816632968,1800.023871,26.50488387,2.696789677,2.616183226,22.26557419,21.76793226,1999.994194,0.979993,0.0200069,0,2.498193548,0,19500.47097,17412.24839,45.06606452,46.679,45.125,44.875,44.95529032,1959.984194,40.01,0,1659812363,0,1659812391,"14:59:51",1659812391,1659812382,30,-0.209,0.003,2.885,0.017,1800,27,0.25,0.07,2,6,"6-Feb",2.93953,2.80123,0.232598,0.23478,0.116311,0.113919,15652.5,16362.1,23748.6,24915.2,33612,35271,43326.5,46068.6,1.92582,1.76938,0.0656769,0,30.8485,999.9,42.8,40.7,"33.3696",63.6182,24.7276,1,0.706669,4.6941,20.257,5.21729,11.9081,5.00495,3.29192,"9999","9999","9999","999.9","1.85974",1.85471,1.85791,1.85639,1.85516,1.85469,1.85359,1.85654,0,0,0,0,0,"iiiiiiii","off","off","off","off",0,100,100,2.885,0.017,0.548504495,0.003023906,-1.4e-06,2.8e-10,-0.070857753,0.010309082,-0.000363211,3.61e-06,0,2134,3,46,3,2.9,3.51562,2.34985,1.4978,2.30469,1.54785,2.36206,43.5627,14.1408,18,503.284,465.177,24.657,35.5945,30.0004,35.359,35.4648,70.3869,17.9382,0,24.6476,1800,26.5557,100.167,99.8341,"OK","MAEL","Manilkara elata","K67-WT-09","K6709L2-2"
1159,1659812554,16412.1,"20220806 15:02:33","15:02:33",1,1,"Charlie","walkup_tower","Macaranduba","Maca1",2,"Traditional",1659812546,0.000501475,0.501474525,18.77330013,1976.026,654.2609313,64.64897525,195.2555164,0.023614363,2.906224393,0.023508282,0.014702167,321.5208105,32.75535589,31.87211,4.740626802,60.18431788,2.712273907,4.506612358,2.028352895,-22.11502655,-139.5468488,-10.82808405,149.0308511,19.02747531,0.499825035,18.77330013,2055.330031,2032.029091,0.030712491,65.48548978,0.501474525,26.86945313,27.45434396,3.08e-05,86.07319217,0,0,1,0,51494.60221,2000.025667,1681.22193,0.840600177,0.160758342,6,0.5,"0: Broadleaf",2,TRUE,1659812546,1976.026,2000.038,27.44877,26.86559333,1973.04,27.43277,500.1285,98.71225,0.099970263,30.98146333,31.87211,999.9,0,0,9996.358667,0,1839.945,-23.98277,2031.827,2055.253667,0.5830201,2000.038,26.86559333,2.709514667,2.651963333,22.34293,21.99045333,2000.025667,0.9799946,0.020005353,0,2.568033333,0,19527.32333,17412.50667,45.30166667,46.875,45.375,45.125,45.156,1960.013333,40.01233333,0,1659812553,0,1659812590,"15:03:10",1659812590,1659812571,31,-0.048,0,2.986,0.016,2000,27,0.33,0.43,3,6,"6-Mar",2.93879,2.80127,0.247429,0.249214,0.116631,0.11496,15343.3,16044.7,23741.7,24905.3,33591.6,35217,43315.5,46050.9,1.9237,1.76728,0.0629947,0,30.8472,999.9,43,40.8,"33.6977",63.5482,25.4928,1,0.721458,4.65313,20.2579,5.21819,11.9081,5.00535,3.2919,"9999","9999","9999","999.9","1.85983",1.85485,1.85802,1.85654,1.85524,1.85477,1.85369,1.85656,0,0,0,0,0,"iiiiiiii","off","off","off","off",0,100,100,2.986,0.016,0.340224847,0.003023906,-1.4e-06,2.8e-10,-0.068216861,0.010309082,-0.000363211,3.61e-06,0,2134,3,46,2.7,2.9,3.82202,2.3291,1.4978,2.30469,1.54785,2.46216,43.9467,14.062,18,503.045,464.854,24.5895,35.7763,30,35.5143,35.6165,76.4918,17.3478,0,24.6055,2000,26.7939,100.14,99.7952,"OK","MAEL","Manilkara elata","K67-WT-09","K6709L2-2"
