"Num","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","cost","citransition1","citransition2","V_cmax_pts","J_max_pts","V_TPU_pts","alpha","alpha_g","gamma_star25","Ea_gamma_star","K_M25","Ea_K_M","g_mc25","Ea_g_mc","Oconc","theta_J","ID"
0,28.171994796591,0.291899261249273,29.9823817891625,29.6887752413867,0.0696769597431415,1.70353431887959,0.00978855750772899,1.16980548167404,0.0373898456110309,29.1624057303485,454.87872,673.1811167,121,43,211,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6702L1"
0,36.3713398191065,0.271866812052928,60.6770235695672,59.4178831992019,0.0347332150404064,4.73601217387981,0.0113070131020347,0.418323276340362,0.0498188505106051,36.2447614621026,653.47265,1215.8545,162,120,99,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6704L1"
0,30.0795122310303,0.191999519867041,59.4504849538704,58.2439711528236,0.0528471879220819,4.58258029883164,0.0105535636108613,0.940286722552709,0.0482811716456724,34.0597551627656,933.50475,1372.239,231,106,42,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6704L2"
0,33.3956352167618,0.193910131637346,49.5549348547866,48.7290518288794,0.0217217764081788,1000,NA,0.872921267797796,0.0348953557094804,12.481920799285,629.69555,1489.225,166,213,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L1"
0,33.6700831245215,0.214081231313436,48.0196182433118,47.2459076743965,0.0207680551345341,1000,NA,0.466942118982753,0.0373069719643035,12.1818997409461,602.08445,1472.973,155,223,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L1-1"
0,40.9064029994907,0.302769347228937,55.5326038586692,54.4860795407848,0.0483625770724659,3.57638669941879,0.0070309264634975,-0.919188362145263,0.0500111897011842,33.4002923697127,541.73435,959.17805,134,91,144,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L2"
0,53.1147873884101,0.344585492413491,63.9611829006635,62.5550783064323,0.383664930705729,2.7216147545394,0.0165933408639546,1.19580280955254,0.0550899359130475,85.440901551428,569.7047,701.32155,151,19,205,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6706L1"
0,53.244924512245,0.559963382912914,68.4078295544765,66.7885499434135,0.0645236678427891,5.3172172945457,0.01387829361198,-0.198133648342979,0.111249601599663,92.7457712420241,705.45085,1516.0865,170,170,34,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6706L2"
0,115.960923006676,0.567561379041561,125.656121090268,119.692012101498,0.203392288842569,6.1220880151205,0.0123288838701775,0.805537873994729,0.0498463050720463,190.321482285476,307.6550214,567.68535195,89,57,233,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L1"
0,116.889313736818,0.523245052663825,120.968081220167,115.480424957024,0.156403463446163,6.03349087723224,0.0160322103223544,1.04343459015982,0.0383436005821696,191.946830303753,263.67576135,551.837522,78,65,237,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L1-1"
