"Num","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","cost","citransition1","citransition2","V_cmax_pts","J_max_pts","V_TPU_pts","alpha","alpha_g","gamma_star25","Ea_gamma_star","K_M25","Ea_K_M","g_mc25","Ea_g_mc","Oconc","theta_J","ID","method","Data_point","meanTleaf","vcmax_25"
0,26.3548922190021,0.400068145114694,24.0354580245819,23.8484310012513,0.0353135039336128,1000,NA,1.29039481158335,0.0560877557474538,34.8472540173865,505.28974225,1616.953372,131,244,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6702L1","DAT","Before_DAT",31.5564640691816,43.1571554637686
0,34.9901274804444,0.278423649629295,62.7778092370091,61.4256807187627,0.0432181161725935,1000,NA,0.556399071983933,0.057441301635202,42.6797462511521,751.7523,1664.084,183,198,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6704L1","DAT","Before_DAT",31.3300322193878,56.576331203609
0,28.6071600231672,0.207678066585329,60.8790431695965,59.611114292573,0.0336075702476428,1000,NA,1.15081000709092,0.0590240700976738,34.807548238576,1098.6385,1539.513,271,108,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6704L2","DAT","Before_DAT",31.3666823469388,46.3518910578896
0,33.3956352167618,0.193910131637346,49.5549348547866,48.7290518288794,0.0217217764081788,1000,NA,0.872921267797796,0.0348953557094804,12.481920799285,629.69555,1489.225,166,213,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L1","DAT","Before_DAT",31.3833081585678,54.1614943191652
0,33.6700831245215,0.214081231313436,48.0196182433118,47.2459076743965,0.0207680551345341,1000,NA,0.466942118982753,0.0373069719643035,12.1818997409461,602.08445,1472.973,155,223,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L1-1","DAT","Before_DAT",31.3659917091837,54.5531611037181
0,38.4359313349304,0.384568803503157,50.1806901684118,49.3330220750645,0.0412524453861574,1000,NA,-0.659246017350161,0.0717146779571445,41.6531862584004,631.36875,1590.763,154,215,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L2","DAT","Before_DAT",31.2869830769231,61.995364688149
0,48.9165490337479,0.729206740057096,37.045977025196,36.59299089701,0.0626051361138634,1000,NA,1.58023923540115,0.126972594973887,123.043194289554,653.43795,1695.563,164,211,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6706L1","DAT","Before_DAT",31.7229246803069,80.8293760868993
0,54.5860218183516,0.486431687892421,70.2434155268708,68.5313066147831,0.066357130110952,1000,NA,-0.347887697278163,0.0935635666061211,99.3198652245069,676.03015,1670.728,164,210,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6706L2","DAT","Before_DAT",31.4454356777494,88.838003941008
0,91.1975294262507,1.67877591026088,82.3719193599035,79.9736675176406,0.0858400105292952,1000,NA,2.293914187038,0.241747561593124,320.472468860703,512.36915,1684.63,136,243,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L1","DAT","Before_DAT",31.3481421227621,147.611219194467
0,90.415265939745,1.60951250903049,81.7047727748684,79.3476027852785,0.0813059337853487,1000,NA,2.45291204550743,0.219998753884064,276.072295740954,488.53485,1675.949,131,249,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L1-1","DAT","Before_DAT",31.3385902040816,146.265675453903
0,113.433531955813,2.36245552196177,88.1727390586328,85.400353877517,0.168087723278054,1000,NA,3.96055564951157,0.357795371150591,965.887791857159,526.12585,1695.609,141,238,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L2","DAT","Before_DAT",30.7034323469388,176.70576235827
0,111.067055967858,2.34992551598786,87.4298181477172,84.7070429105332,0.142947470196314,1000,NA,4.01094689331195,0.343585281396405,770.289976367731,509.1879,1698.427,137,241,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L2-2","DAT","Before_DAT",30.7267957033248,173.269384388245
0,48.3074745990186,0.273331944319616,58.5676005930579,57.3982203771991,0.0417803878431729,1000,NA,0.608662190627115,0.0316381325858691,45.2153202051802,407.2951446,1591.270231,111,269,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6708L1","DAT","Before_DAT",31.6838249097442,79.6555613374791
0,41.7046468472587,0.257865637958408,52.8686389888158,51.9239176154047,0.0237643241502948,1000,NA,1.54724135553347,0.0295262102201131,14.8910751746744,408.36353195,1568.488902,112,263,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6708L2","DAT","Before_DAT",31.9067449222901,69.5831002149355
0,105.703435751883,1.22553027169983,97.6392343098099,94.189967512484,0.0904650093206609,1000,NA,2.5087000027883,0.133174038369516,216.727921794597,404.0960542,1504.227398,135,242,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L2","DAT","Before_DAT",31.6561513364103,174.037194703687
0,84.6309602921043,1.7940114592548,94.8133404155882,91.5748984584031,0.0757396621019114,1000,NA,3.42581240236824,0.294072644784094,182.170772619638,545.7446255,1468.540951,135,199,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L2-2","DAT","Before_DAT",31.7972438807493,140.397422759882
0,128.555076985567,0.624062450269121,127.509272000274,121.350360658336,0.042643974720755,1000,NA,2.18886795370751,0.0415388391987593,42.032197054512,242.5968,1116.697,100,273,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L3","DAT","Before_DAT",31.6889029516539,212.03606404553
0,89.594054274415,0.956384556947021,75.729001187423,73.7223681095509,0.197556997102795,1000,NA,10.8645953230297,0.0747010243942227,802.681449163085,302.2127558,1400.455752,121,249,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L6","DAT","Before_DAT",31.5991811541969,147.057532799896
