"","treename","dat_vcmax","dat_vc_sd","dat_jmax","dat_j_sd","trad_vcmax","trad_vc_sd","trad_jmax","trad_j_sd","vc_diff","j_diff","vc_diff_se","j_diff_se","rel_can_pos","family","gen_spec","gen_spec_id"
"9","14",22.1184224274013,4.13030939606695,11.0888383030595,2.17932457890694,20.7220933000904,1.43565958220252,29.029409353511,1.62683466909324,-1.3963291273109,17.9405710504515,2.78298448913473,1.90307962400009,12,"Annonaceae","Anaxagorea dolichocarpa","Anaxagorea dolichocarpa"
"1","2",15.4784168095106,NA,19.2748478495797,NA,15.5839894041242,NA,31.4952300472343,NA,0.1055725946136,12.2203821976546,NA,NA,11,"Lecythidaceae","Couratari stellata","Couratari stellata"
"8","13",25.5747463138475,5.96357449051129,40.825003844181,7.47714887148596,26.0007448303008,7.45085043333637,45.0455040964748,7.02478858913746,0.425998516453234,4.2205002522938,6.70721246192383,7.25096873031171,10,"Hypericaceae","Vismia cayennensis","Vismia cayennensis"
"12","17",40.2113577643211,1.23530262189157,68.6333475530398,3.34729083581037,43.024179710702,0.25353159406578,70.6934256266267,1.70040422581917,2.8128219463809,2.06007807358688,0.744417107978676,2.52384753081477,9,"Euphorbiaceae","Aparisthmium cordatum","Aparisthmium cordatum"
"10","15",24.8160963380692,5.39188205800053,44.2671701737298,6.00766803869193,25.0800825608081,4.52689935086751,50.4850405125134,6.34328818615731,0.26398622273895,6.2178703387836,4.95939070443402,6.17547811242462,8,"Rubiaceae","Coussarea paniculata","Coussarea paniculata"
"11","16",31.9132573146002,3.87073947927869,50.2704622684422,3.9425114324998,35.3277403875455,1.82280745383689,61.4281429368731,0.909136961976826,3.4144830729453,11.1576806684309,2.84677346655779,2.42582419723831,7,"Melastomataceae","Miconia egensis","Miconia egensis"
"3","5",21.4026016849351,2.13654925337582,39.8246450902971,0.834070634994068,21.5269283121889,2.73208987037403,39.8705728499417,4.64967466210548,0.124326627253751,0.0459277596445276,2.43431956187492,2.74187264854977,6,"Burseraceae","Protium apiculatum","Protium apiculatum"
"13","18",12.1380505814654,3.27266877834926,30.6284522198539,9.9499560997542,14.3165847320528,4.75614816232374,32.3846665045044,11.8064945242678,2.1785341505874,1.75621428465045,4.0144084703365,10.878225312011,5.2,"Fabaceae","Abarema mataybifolia","Abarema mataybifolia #2"
"2","4",18.8928806501442,2.70887426081891,49.7444243055749,1.10147996388904,22.1537473147207,3.00472508811434,55.0100411181976,4.78260411638283,3.26086666457645,5.26561681262275,2.85679967446663,2.94204204013593,5.1,"Fabaceae","Abarema mataybifolia","Abarema mataybifolia #1"
"4","6",30.3651599900476,2.67049958163521,43.0324055604478,18.9415708854512,30.6720433786668,4.81589288308848,58.5739116547081,13.4240620042674,0.306883388619198,15.5415060942603,3.74319623236185,16.1828164448593,4,"Lecythidaceae","Eschweilera sp. trufle1","Eschweilera sp. trufle1"
"6","8",26.115928434493,2.91870102285255,44.5407611982153,3.31100483608414,25.5086439613845,1.39538734213814,48.963328806536,1.25256663543322,-0.6072844731084,4.4225676083207,2.15704418249534,2.28178573575868,3,"Rubiaceae","Chimarrhis turbinata","Chimarrhis turbinata"
"5","7",61.606493515018,10.8120761185875,68.7509628062563,3.87706709090768,72.9605460583995,13.285646284384,105.977266245488,12.1433571286042,11.3540525433815,37.2263034392317,12.0488612014858,8.01021210975592,2,"Fabaceae","Tachigali chrysophylla","Tachigali chrysophylla"
"7","9",62.5613539342574,10.4779414486534,85.0906298848514,19.9191854063685,59.2092925303536,4.98166580417831,100.152260953198,3.97871860483558,-3.3520614039038,15.061631068347,7.72980362641586,11.948952005602,1,"Sapotaceae","Manilkara elata","Manilkara elata"
